file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,class,2,7,5,2,9,5,3,17,24,0.8271605,0.26666668,0.4,9,0,5,3,1,0,6,0,0,0,6,0,0,0,6,0,0,0,0,74,0,0,0,0,2,8,8,13,6,9,0,2,0,0,38,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\PlayersPanel.java,ui.PlayersPanel,class,3,5,2,3,7,6,0,20,8,0.6,0.16666667,0.16666667,5,0,3,1,1,0,4,0,0,0,1,0,0,1,0,0,0,0,4,30,0,2,0,0,1,9,18,10,14,5,1,0,0,0,30,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\PlayerInfoButton.java,ui.PlayerInfoButton,class,2,3,1,2,11,5,0,13,0,0.73611116,0.5555556,0.7777778,9,0,9,0,0,0,9,0,0,0,8,0,0,8,0,0,0,0,2,49,1,0,0,0,0,3,6,13,0,8,1,0,0,0,38,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\control\GameRunning.java,control.GameRunning,class,3,12,9,3,30,1,0,15,20,0.84615386,0.33333334,0.6969697,13,0,12,1,0,0,12,0,0,0,15,10,10,5,0,0,0,0,2,111,11,0,4,0,2,0,28,27,4,17,2,0,0,0,49,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\model\buildings\Lottery.java,model.buildings.Lottery,class,2,3,1,2,2,2,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\config\Photo.java,ui.config.Photo,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,7,0,0,0,0,0,14,0,5,0,5,0,0,0,0,27,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\model\card\TallageCard.java,model.card.TallageCard,class,2,3,1,2,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2,1,3,0,0,0,0,0,0,6,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\model\EventsModel.java,model.EventsModel,class,3,5,2,3,7,2,0,3,15,0.75,0.14285715,0.2857143,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,1,0,8,2,4,0,0,0,0,40,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\PlayerInfo.java,ui.PlayerInfo$Anonymous2,anonymous,0,0,0,0,5,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,6,6,0,1,0,0,0,11,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\model\buildings\Building.java,model.buildings.Building,class,1,15,14,1,19,1,9,0,137,0.9012346,0.052287582,0.05882353,18,0,18,0,0,0,18,0,0,0,9,0,0,0,9,0,0,0,0,65,13,0,0,0,0,0,3,7,0,9,0,0,0,0,43,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\JFrameGame.java,ui.JFrameGame,class,2,7,5,2,2,6,0,7,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,16,1,0,0,0,0,2,3,2,1,1,0,0,0,0,9,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\GameShop.java,ui.GameShop,class,4,5,1,4,14,1,0,14,39,0.84000003,0.027777778,0.027777778,10,1,9,1,0,0,9,0,0,0,5,1,0,4,0,1,0,0,0,53,0,0,0,0,4,1,14,16,16,10,1,0,0,0,38,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\ShopButton.java,ui.ShopButton,class,2,4,2,2,16,5,0,17,0,0.7,0.5555556,0.7777778,9,0,9,0,0,0,9,0,0,0,10,0,0,10,0,0,0,0,0,69,1,0,0,0,1,5,6,16,0,10,2,0,0,0,37,1,0
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\model\card\StopCard.java,model.card.StopCard,class,2,3,1,2,3,2,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,2,1,3,0,0,0,0,0,0,8,1,0
