file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,"Massage/2[java.lang.String,ui.JPanelGame]",titileStr,1
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,"Massage/2[java.lang.String,ui.JPanelGame]",titile,2
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,"Massage/2[java.lang.String,ui.JPanelGame]",panel,3
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,initBounds/0,bg,4
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,initBounds/0,w,2
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,initBounds/0,x,2
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,initBounds/0,h,2
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,initBounds/0,y,2
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,moveToBack/0,panel,1
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,setTitileStr/1[java.lang.String],titileStr,4
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,setTitileStr/1[java.lang.String],titile,1
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,addTitle/0,titileStr,1
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,addTitle/0,titile,3
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,moveToFront/0,panel,1
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\PlayersPanel.java,ui.PlayersPanel,paintPlayerInformation/1[java.awt.Graphics],players,1
