file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,addListener/0,false,90,0,2,1,1,1,2,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,ok/0,false,122,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,"Massage/2[java.lang.String,ui.JPanelGame]",true,37,2,3,0,3,1,5,9,0,0,2,5,3,1,0,0,0,0,0,0,2,0,0,0,0,0,13,4,0,true
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,initBounds/0,false,75,0,1,1,0,1,3,7,0,0,0,3,0,0,0,0,0,2,0,4,4,4,0,0,0,0,4,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,moveToBack/0,false,62,1,1,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,setTitileStr/1[java.lang.String],false,52,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,7,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,addTitle/0,false,83,0,1,1,0,1,2,5,0,0,0,2,0,0,0,0,0,0,2,4,1,1,0,0,0,0,9,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,moveToFront/0,false,71,1,1,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\massage\Massage.java,ui.massage.Massage,cancel/0,false,131,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\PlayersPanel.java,ui.PlayersPanel,paintPlayerInformation/1[java.awt.Graphics],false,32,1,2,1,1,2,1,8,0,1,1,1,1,1,1,0,0,0,0,4,3,0,1,0,0,0,10,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\PlayersPanel.java,ui.PlayersPanel,"PlayersPanel/5[int,int,int,int,java.util.List<model.PlayerModel>]",true,22,1,1,1,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,false
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\PlayersPanel.java,ui.PlayersPanel,paint/1[java.awt.Graphics],false,72,2,2,0,2,1,2,4,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\JAVA-MVC-Swing-Monopoly-master\src\ui\PlayersPanel.java,ui.PlayersPanel,startPanel/0,false,80,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
