file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,class,7,10,3,7,12,6,0,33,47,0.87878793,0.07272727,0.10909091,11,1,11,0,0,0,11,0,0,0,18,1,0,18,0,0,2,0,10,226,6,0,0,1,0,17,115,61,0,31,2,4,0,0,84,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\FrmCrtez.java,crtanje.FrmCrtez$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,9,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\FrmCrtez.java,crtanje.FrmCrtez$Anonymous1,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,0,1,0,1,1,0,0,0,10,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\PovrsinskiOblik.java,crtanje.PovrsinskiOblik,class,1,9,8,1,3,2,2,0,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,2,0,1,0,0,0,0,13,1025,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKvadrat.java,crtanje.DlgKvadrat,class,7,9,2,7,12,6,0,33,47,0.87878793,0.07272727,0.10909091,11,1,11,0,0,0,11,0,0,0,18,1,0,18,0,0,2,0,9,218,6,0,0,1,0,10,112,61,0,31,2,4,0,0,84,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgTacka.java,crtanje.DlgTacka$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgTacka.java,crtanje.DlgTacka$Anonymous2,anonymous,0,0,0,0,4,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,22,2,0,0,1,0,6,0,3,0,0,2,0,0,0,24,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\FrmCrtez.java,crtanje.FrmCrtez,class,2,3,1,2,2,6,0,15,1,0.85,0.0,0.0,2,1,2,0,0,0,2,0,0,0,10,1,0,10,0,0,2,0,11,274,0,0,0,0,0,20,21,21,0,22,0,6,0,0,67,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgTacka.java,crtanje.DlgTacka$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\FrmCrtez.java,crtanje.FrmCrtez$Anonymous4,anonymous,10,10,0,10,15,1,0,26,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,66,2,2,2,0,0,2,4,14,1,12,3,0,0,0,32,-1,0
