file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,obrisiDugmice/0,btnBojaIvice,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,obrisiDugmice/0,btnBojaUnutrasnjosti,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,getXkoordinataCentra/0,xKoordinataCentra,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,btnBojaIvice,6
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,txtXkoordinataCentra,4
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,lblYkoordinataCentra,4
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,glavniPanel,11
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,txtYkoordinataCentra,4
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,txtDuzinaPoluprecnika,4
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,lblXkoordinataCentra,4
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,btnBojaUnutrasnjosti,5
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,DlgKrug/0,lblDuzinaPoluprecnika,4
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,"upisi/2[int,int]",txtXkoordinataCentra,2
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,"upisi/2[int,int]",txtYkoordinataCentra,2
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,getDuzinaPoluprecnika/0,duzinaPoluprecnika,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,getBojaIvice/0,bojaIvice,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,getBojaUnutrasnjosti/0,bojaUnutrasnjosti,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,isPotvrdjeno/0,potvrdjeno,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,popuni/1[crtanje.Krug],txtXkoordinataCentra,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,popuni/1[crtanje.Krug],bojaIviceKruga,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,popuni/1[crtanje.Krug],txtYkoordinataCentra,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,popuni/1[crtanje.Krug],txtDuzinaPoluprecnika,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,popuni/1[crtanje.Krug],bojaUnutrasnjostiKruga,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKrug.java,crtanje.DlgKrug,getYkoordinataCentra/0,yKoordinataCentra,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\PovrsinskiOblik.java,crtanje.PovrsinskiOblik,getBojaUnutrasnjosti/0,bojaUnutrasnjosti,1
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\PovrsinskiOblik.java,crtanje.PovrsinskiOblik,setBojaUnutrasnjosti/1[java.awt.Color],bojaUnutrasnjosti,3
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKvadrat.java,crtanje.DlgKvadrat,"upisi/2[int,int]",txtYkoordinata,2
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKvadrat.java,crtanje.DlgKvadrat,"upisi/2[int,int]",txtXkoordinata,2
D:\JAVA\Sivaaraj\sanjeev\project\OOP_Paint-master\src\crtanje\DlgKvadrat.java,crtanje.DlgKvadrat,obrisiDugmice/0,btnBojaIvice,1
