file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\BankService.java,com.prashant.solid.SingleResponsibility.BankService,class,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\ShoppingMall.java,com.prashant.solid.dependecyInversion.ShoppingMall,class,3,4,1,3,3,1,0,2,0,0.0,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,1,3,0,3,0,0,0,0,13,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\CreditCard.java,com.prashant.solid.dependecyInversion.CreditCard,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\BankCard.java,com.prashant.solid.dependecyInversion.BankCard,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\CashBackManager.java,com.prashant.solid.InterfaceSegregation.CashBackManager,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\Instagram.java,com.prashant.solid.InterfaceSegregation.Model.Instagram,class,1,1,0,1,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Impl\WhatsApp.java,com.prashant.solid.InterfaceSegregation.Impl.WhatsApp,class,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\OpenAndClose\EmailNotificationService.java,com.prashant.solid.OpenAndClose.EmailNotificationService,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\OpenAndClose\Notificationservice.java,com.prashant.solid.OpenAndClose.Notificationservice,interface,0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Phonepe.java,com.prashant.solid.InterfaceSegregation.Phonepe,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
