file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\BankService.java,com.prashant.solid.SingleResponsibility.BankService,"withDraw/2[long,java.lang.String]",amount,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\BankService.java,com.prashant.solid.SingleResponsibility.BankService,"withDraw/2[long,java.lang.String]",accountNo,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\BankService.java,com.prashant.solid.SingleResponsibility.BankService,"deposit/2[long,java.lang.String]",amount,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\BankService.java,com.prashant.solid.SingleResponsibility.BankService,"deposit/2[long,java.lang.String]",accountNo,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\ShoppingMall.java,com.prashant.solid.dependecyInversion.ShoppingMall,ShoppingMall/1[com.prashant.solid.dependecyInversion.BankCard],bankCard,2
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\ShoppingMall.java,com.prashant.solid.dependecyInversion.ShoppingMall,main/1[java.lang.String[]],args,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\ShoppingMall.java,com.prashant.solid.dependecyInversion.ShoppingMall,main/1[java.lang.String[]],bankCard,1
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\ShoppingMall.java,com.prashant.solid.dependecyInversion.ShoppingMall,main/1[java.lang.String[]],shoppingMall,1
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\ShoppingMall.java,com.prashant.solid.dependecyInversion.ShoppingMall,doPurchaseSomething/1[long],amount,1
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\CreditCard.java,com.prashant.solid.dependecyInversion.CreditCard,doTransaction/1[long],amount,0
