file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Login_REG_ctrl.java,Controller.Login_REG_ctrl,class,1,2,1,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,1,0,1,1,0,0,0,9,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,class,1,14,13,1,39,1,0,12,94,0.84659094,0.033333335,0.05,16,11,16,0,0,0,16,0,0,0,11,0,0,11,0,0,0,0,14,238,9,9,0,14,0,23,19,76,0,72,2,0,0,0,80,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\Database.java,Model.Database,class,0,13,13,0,2,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,1,0,4,0,2,0,1,1,0,0,0,8,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Dialogue\Unit_update.java,View.Dialogue.Unit_update$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Dialogue\Unit_update.java,View.Dialogue.Unit_update$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Dialogue\Unit_update.java,View.Dialogue.Unit_update$Anonymous1,anonymous,2,2,0,2,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,4,0,0,0,0,12,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Purchase.java,Controller.Purchase,class,2,3,1,2,1,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,6,1,6,0,0,0,0,13,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Purchase_master_contrl.java,Controller.Purchase_master_contrl,class,1,2,1,1,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,1,5,11,0,8,1,0,0,0,20,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Update_unit.java,Controller.Update_unit,class,1,2,1,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2,3,0,2,1,0,0,0,8,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Login\Login_Jfrm.java,View.Login.Login_Jfrm,class,1,5,4,1,3,6,0,18,3,0.72222227,0.0,0.0,3,1,2,1,0,0,2,0,0,0,6,2,2,4,0,0,0,0,1,114,0,0,0,0,0,17,55,12,0,13,0,4,0,0,52,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Dialogue\Purchase_update.java,View.Dialogue.Purchase_update,class,4,7,3,4,3,6,0,22,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,11,4,10,1,0,0,1,0,2,175,0,0,0,1,0,16,92,31,0,29,2,5,0,0,72,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Login\LOG_Splash.java,View.Login.LOG_Splash,class,3,6,3,3,2,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,0,1,0,0,0,3,6,3,0,3,1,0,0,0,18,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\Purchase_master.java,Model.Purchase_master,class,1,3,2,1,6,1,0,9,1,0.33333334,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,6,0,0,6,0,0,0,0,2,48,1,1,0,2,0,3,7,15,0,14,2,0,0,0,56,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Backup_Restore\BackUp.java,Backup_Restore.BackUp,class,3,5,2,3,10,1,0,19,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,2,0,4,0,0,0,0,8,65,2,2,1,6,1,12,5,17,2,12,2,0,0,0,53,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Get_unit.java,Controller.Get_unit,class,1,2,1,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2,3,0,2,1,0,0,0,7,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Dialogue\Unit_update.java,View.Dialogue.Unit_update,class,1,2,1,1,1,6,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,2,1,0,0,1,0,1,77,0,0,0,0,0,7,28,12,0,11,2,3,0,0,41,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\All_panel\Create_Sale.java,View.All_panel.Create_Sale,class,4,5,1,4,1,5,0,18,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,15,2,4,11,0,0,0,0,3,238,0,0,0,0,0,61,8,42,0,41,0,8,0,0,85,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\All_panel\Add_category.java,View.All_panel.Add_category$Anonymous2,anonymous,2,2,0,2,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,2,6,0,6,0,0,0,0,18,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\All_panel\Add_category.java,View.All_panel.Add_category,class,3,4,1,3,1,5,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,1,1,2,0,1,0,0,2,58,0,0,0,0,0,12,4,11,0,10,0,2,0,0,37,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\Status.java,Model.Status,class,1,8,7,1,3,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,1,1,0,1,0,2,0,5,0,5,2,0,0,0,18,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\All_panel\Add_category.java,View.All_panel.Add_category$Anonymous1,anonymous,2,2,0,2,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,1,0,0,1,1,3,0,3,1,0,0,0,12,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Update_cat.java,Controller.Update_cat,class,1,2,1,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2,3,0,2,1,0,0,0,6,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Get_Category_data.java,Controller.Get_Category_data,class,1,2,1,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2,3,0,2,1,0,0,0,11,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Login\XXX.java,View.Login.XXX$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0,1,1,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Login_cntrl.java,Controller.Login_cntrl,class,4,5,1,4,7,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,3,0,0,12,0,9,0,9,2,0,0,0,16,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\View\Dashboard_JFrm.java,View.Dashboard_JFrm$Anonymous1,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,1,0,1,0,1,1,0,0,0,15,-1,0
