file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,ssel,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,total,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,by,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,id,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,qn,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,pd_id,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,"prepare_for_snd_tmp/5[int,int,int,int,int]",buy,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,"prepare_for_snd_tmp/5[int,int,int,int,int]",sell,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,"prepare_for_snd_tmp/5[int,int,int,int,int]",total_p,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,"prepare_for_snd_tmp/5[int,int,int,int,int]",qun,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,"prepare_for_snd_tmp/5[int,int,int,int,int]",pdt_id,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,"prepare_for_snd_tmp/5[int,int,int,int,int]",pd_id,2
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_purchase/0,buy,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_purchase/0,sell,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_purchase/0,total_p,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_purchase/0,qun,1
