file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Login_REG_ctrl.java,Controller.Login_REG_ctrl,"Login_REG_ctrl/3[java.lang.String,java.lang.String,java.lang.String]",true,12,1,4,1,3,4,3,11,0,1,3,3,0,0,0,0,0,0,3,0,1,0,1,0,0,0,9,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,ck_existing_pdt/1[int],false,234,1,2,1,1,3,7,17,1,5,1,7,0,0,1,0,1,0,2,2,6,0,2,0,0,0,25,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,false,105,1,2,1,1,2,5,17,0,3,0,5,0,0,0,0,1,0,1,6,3,0,1,0,0,0,20,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_id_by_pdt/1[java.lang.String],false,208,1,2,1,1,3,7,17,1,5,1,7,0,0,1,0,1,0,2,2,6,0,2,0,0,0,27,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_all_total_temp/0,false,352,1,2,1,1,3,6,15,1,5,0,6,0,0,1,0,1,0,2,0,5,0,2,0,0,0,19,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_total/0,false,183,1,2,1,1,3,5,15,1,5,0,5,0,0,1,0,1,0,2,1,6,0,2,0,0,0,22,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,"prepare_for_snd_tmp/5[int,int,int,int,int]",false,37,0,1,1,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,all_quan_tmp/0,false,292,1,2,1,1,3,6,15,1,5,0,6,0,0,1,0,1,0,2,0,5,0,2,0,0,0,19,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,load/0,false,70,1,3,2,1,2,6,12,0,4,0,6,0,0,0,0,1,0,1,0,4,0,1,0,0,0,22,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_id_by_pd_id/1[int],false,147,1,2,1,1,3,8,18,1,5,1,8,0,0,1,0,1,0,2,2,6,0,2,0,0,0,25,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,truncate_temp/0,false,168,1,2,1,1,2,4,11,0,3,0,4,0,0,0,0,1,0,1,0,3,0,1,0,0,0,15,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,all_pd_tmp/0,false,262,1,2,1,1,3,6,15,1,5,0,6,0,0,1,0,1,0,2,0,5,0,2,0,0,0,20,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_purchase/0,false,50,1,2,1,1,2,5,16,0,3,0,5,0,0,0,0,1,0,1,5,3,0,1,0,0,0,22,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,"prepare_update_puchase/6[int,int,int,int,int,int]",false,91,0,1,1,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_all_sell_temp/0,false,383,1,2,1,1,3,6,15,1,5,0,6,0,0,1,0,1,0,2,0,5,0,2,0,0,0,19,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_all_bp_temp/0,false,320,1,2,1,1,3,6,15,1,5,0,6,0,0,1,0,1,0,2,0,5,0,2,0,0,0,21,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,delete_temp/1[int],false,131,1,2,1,1,2,5,12,0,3,1,5,0,0,0,0,1,0,1,1,3,0,1,0,0,0,19,1,0,false
