file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Login_REG_ctrl.java,Controller.Login_REG_ctrl,"Login_REG_ctrl/3[java.lang.String,java.lang.String,java.lang.String]",ps,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Login_REG_ctrl.java,Controller.Login_REG_ctrl,"Login_REG_ctrl/3[java.lang.String,java.lang.String,java.lang.String]",Login_m,2
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Login_REG_ctrl.java,Controller.Login_REG_ctrl,"Login_REG_ctrl/3[java.lang.String,java.lang.String,java.lang.String]",un,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Controller\Login_REG_ctrl.java,Controller.Login_REG_ctrl,"Login_REG_ctrl/3[java.lang.String,java.lang.String,java.lang.String]",rol,4
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,ck_existing_pdt/1[int],comnd,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,ck_existing_pdt/1[int],rs,2
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,ck_existing_pdt/1[int],ps,3
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,ck_existing_pdt/1[int],e,0
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,ck_existing_pdt/1[int],obj,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,ck_existing_pdt/1[int],product_id,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,ck_existing_pdt/1[int],get_pdt_id,2
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,ps,7
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,x,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,is,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,snd_to_db_update_purchase/0,command,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_id_by_pdt/1[java.lang.String],comnd,1
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_id_by_pdt/1[java.lang.String],rs,2
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_id_by_pdt/1[java.lang.String],ps,3
D:\JAVA\Sivaaraj\sanjeev\project\Shop-Management-master\src\Model\temp.java,Model.temp,get_id_by_pdt/1[java.lang.String],give_pd_name,1
