file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,class,9,12,3,9,10,6,0,53,6,0.75,0.0,0.0,4,0,2,2,0,0,2,0,0,0,12,0,0,12,0,0,0,0,9,100,2,1,1,1,0,18,26,19,0,19,2,1,0,0,73,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Damage.java,BO.Damage,class,1,4,3,1,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
