file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],jTextField3,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],jComboBox1,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],jTextField2,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],jTextField1,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],jDateChooser1,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jLabel3,4
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jLabel2,4
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jLabel5,4
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jButton1,5
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jLabel4,4
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jPanel1,6
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jTextField3,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jComboBox1,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jTextField2,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jTextField1,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jDateChooser1,6
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,jLabel1,4
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,populateProductListComboBox/0,jComboBox1,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Damage.java,BO.Damage,setCause/1[java.lang.String],cause,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Damage.java,BO.Damage,getCause/0,cause,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Purchase.java,BO.Purchase,setTotalAmount/1[double],totalAmount,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Purchase.java,BO.Purchase,setVendorName/1[java.lang.String],vendorName,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Purchase.java,BO.Purchase,getTotalAmount/0,totalAmount,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Purchase.java,BO.Purchase,getVendorName/0,vendorName,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,setPurchaseList/1[java.util.List<BO.Purchase>],purchaseList,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getDamageOfADate/1[BO.JDateChooser],damageList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getDamageList/0,damageList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getSalesOfADate/1[BO.JDateChooser],salesList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getPurchaseOfADate/1[BO.JDateChooser],purchaseList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getProductList/0,productList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getShop/0,aShop,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getPurchaseList/0,purchaseList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,setProductList/1[java.util.List<BO.Product>],productList,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addSale/1[BO.Sale],salesList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addSale/1[BO.Sale],productList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,Shop/0,salesList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,Shop/0,damageList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,Shop/0,productList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,Shop/0,purchaseList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getSalesList/0,salesList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,setDamageList/1[java.util.List<BO.Damage>],damageList,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addPurchase/1[BO.Purchase],productList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addPurchase/1[BO.Purchase],purchaseList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addDamage/1[BO.Damage],damageList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addDamage/1[BO.Damage],productList,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,setSalesList/1[java.util.List<BO.Sale>],salesList,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,enlistProduct/1[BO.Product],productList,2
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],jTextArea1,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],jDateChooser1,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton3MouseClicked/1[java.awt.event.MouseEvent],jTextArea1,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton3MouseClicked/1[java.awt.event.MouseEvent],jTextField1,2
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton3MouseClicked/1[java.awt.event.MouseEvent],jDateChooser1,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton2MouseClicked/1[java.awt.event.MouseEvent],jTextArea1,3
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton2MouseClicked/1[java.awt.event.MouseEvent],jTextField1,2
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton2MouseClicked/1[java.awt.event.MouseEvent],jDateChooser1,1
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,initComponents/0,jButton3,5
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,initComponents/0,jButton2,5
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,initComponents/0,jLabel2,5
