file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,PurchaseUI/0,true,19,1,3,1,2,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],false,145,6,12,1,11,6,15,34,2,4,1,15,1,1,0,1,1,0,8,2,4,0,2,0,0,0,36,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,initComponents/0,false,26,3,2,1,1,1,35,43,0,3,0,35,0,0,0,0,0,0,10,24,15,0,0,1,0,0,43,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI,populateProductListComboBox/0,false,194,1,4,2,2,2,3,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Damage.java,BO.Damage,setCause/1[java.lang.String],false,15,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Damage.java,BO.Damage,getCause/0,false,11,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI$Anonymous3,mouseClicked/1[java.awt.event.MouseEvent],false,121,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI$Anonymous2,mouseClicked/1[java.awt.event.MouseEvent],false,114,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],false,57,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous6,actionPerformed/1[java.awt.event.ActionEvent],false,72,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
