file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\Grabber.java,project.Grabber$MethodVisitor,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,class,5,6,1,5,4,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,2,0,0,0,0,0,0,0,17,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,class,2,5,3,2,5,1,0,2,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,20,0,0,0,0,0,2,0,2,0,1,1,0,0,0,15,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Main.java,chorimpl.Main,class,8,9,1,8,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,5,0,5,0,0,0,0,20,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\VisitorPatternDetector.java,project.VisitorPatternDetector,class,6,7,1,6,49,2,0,28,21,0.0,NaN,NaN,7,7,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,138,11,17,7,3,1,18,32,60,21,44,5,0,1,0,64,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Visitor.java,visitor.Visitor,interface,4,10,6,4,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Main.java,visitor.Main,class,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\ChainOfResponsibilityPatternDetector.java,project.ChainOfResponsibilityPatternDetector$MethodVisitor,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\ChainOfResponsibilityPatternDetector.java,project.ChainOfResponsibilityPatternDetector,class,7,9,2,7,37,2,0,31,21,0.0,NaN,NaN,7,7,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,141,9,12,3,6,0,13,13,37,13,37,5,0,1,0,68,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,class,3,4,1,3,3,1,0,3,0,0.44444445,0.0,0.0,3,0,2,1,0,0,2,0,0,0,6,1,0,6,0,0,0,0,0,23,0,0,0,0,0,5,1,6,2,6,0,0,0,0,17,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Light.java,visitor.Light,class,2,5,3,2,4,1,0,2,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,0,0,0,0,0,2,0,2,1,1,0,0,0,0,15,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\handlers\LongLifeMilkHandler.java,chorimpl.handlers.LongLifeMilkHandler,class,3,4,1,3,4,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,17,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\Subject.java,observer.Subject,interface,1,3,2,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Milk.java,chorimpl.Milk,class,0,7,7,0,4,1,0,0,0,0.78571427,0.5,1.0,4,0,4,0,0,0,4,0,0,0,7,4,4,3,0,0,4,0,0,23,3,0,0,0,0,0,3,7,0,7,0,0,0,0,29,1,0
