file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,eat/0,brown,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,setBrown/1[boolean],brown,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,Bread/1[boolean],brown,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,printThePrices/0,applePrice,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,printThePrices/0,googlePrice,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,printThePrices/0,observerID,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,printThePrices/0,ibmPrice,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,StockObserver/1[observer.Subject],observerIDTracker,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,StockObserver/1[observer.Subject],observerID,2
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,StockObserver/1[observer.Subject],stockGrabber,4
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,"update/3[double,double,double]",applePrice,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,"update/3[double,double,double]",googlePrice,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\observer\StockObserver.java,observer.StockObserver,"update/3[double,double,double]",ibmPrice,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Light.java,visitor.Light,Light/1[int],watts,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Light.java,visitor.Light,setWatts/1[int],watts,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Light.java,visitor.Light,light/0,watts,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Milk.java,chorimpl.Milk,getFat/0,fat,1
