file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\Grabber.java,project.Grabber$MethodVisitor,"visit/2[project.MethodDeclaration,java.util.ArrayList<project.MethodDeclaration>]",false,107,1,2,2,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,visit/1[visitor.FinalAcceptor],false,30,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,visit/1[visitor.Light],false,23,1,2,0,2,1,3,5,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,visit/1[visitor.Bicycle],false,9,1,2,0,2,1,3,5,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,visit/1[visitor.Bread],false,16,1,2,0,2,1,3,5,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,eat/0,false,14,0,1,1,0,2,1,8,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,setBrown/1[boolean],false,22,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,Bread/1[boolean],true,10,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,accept/1[visitor.Visitor],false,27,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Main.java,chorimpl.Main,main/1[java.lang.String[]],false,10,8,8,0,8,1,2,12,0,5,1,2,0,0,0,0,0,0,5,0,5,0,0,0,0,0,16,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\VisitorPatternDetector.java,project.VisitorPatternDetector,"isVisitOrAcceptMethod/5[java.lang.String,project.MethodDeclaration,java.lang.String,project.MethodDeclaration,java.lang.String]",false,108,2,2,1,1,8,9,18,2,8,5,9,1,1,2,1,0,0,5,4,11,4,2,0,0,0,19,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\VisitorPatternDetector.java,project.VisitorPatternDetector,"isCallBack/4[java.lang.String,project.MethodDeclaration,project.MethodDeclaration,java.lang.String]",false,72,2,2,1,1,6,9,16,2,6,4,9,1,1,2,1,0,0,3,4,9,3,2,0,0,0,17,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\VisitorPatternDetector.java,project.VisitorPatternDetector,"getType/3[java.lang.String,java.lang.String,java.lang.String]",false,145,1,2,2,0,15,9,36,4,9,3,9,0,0,4,4,1,0,2,15,19,9,3,0,0,0,19,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\VisitorPatternDetector.java,project.VisitorPatternDetector,getClassNameSet/1[java.lang.String],false,260,0,1,1,0,3,4,10,1,3,1,4,0,0,1,0,1,0,1,2,3,0,2,0,0,0,17,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\VisitorPatternDetector.java,project.VisitorPatternDetector,detect/1[java.lang.String],false,16,3,5,0,5,11,9,30,0,10,1,9,5,3,6,1,0,0,5,4,10,4,5,0,0,0,31,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\VisitorPatternDetector.java,project.VisitorPatternDetector,"getClassNameSet/2[java.util.List<project.Parameter>,java.lang.String]",false,221,1,1,1,0,4,8,9,1,5,2,8,0,0,2,0,0,1,2,3,5,1,3,0,0,0,11,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\VisitorPatternDetector.java,project.VisitorPatternDetector,getMethodSet/1[java.lang.String],false,240,3,3,1,2,2,3,12,1,3,1,3,0,0,0,0,1,0,0,0,3,0,1,0,0,0,14,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Visitor.java,visitor.Visitor,visit/1[visitor.FinalAcceptor],false,13,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Visitor.java,visitor.Visitor,visit/1[visitor.Light],false,11,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Visitor.java,visitor.Visitor,visit/1[visitor.Bread],false,9,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Visitor.java,visitor.Visitor,visit/1[visitor.Bicycle],false,7,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Main.java,visitor.Main,main/1[java.lang.String[]],false,8,3,3,0,3,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\ChainOfResponsibilityPatternDetector.java,project.ChainOfResponsibilityPatternDetector$MethodVisitor,"visit/2[project.MethodDeclaration,java.util.HashSet<project.MethodDeclaration>]",false,236,1,1,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\ChainOfResponsibilityPatternDetector.java,project.ChainOfResponsibilityPatternDetector,getClassNameSet/1[java.lang.String],false,216,0,1,1,0,3,4,10,1,3,1,4,0,0,1,0,1,0,1,2,3,0,2,0,0,0,17,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\ChainOfResponsibilityPatternDetector.java,project.ChainOfResponsibilityPatternDetector,getMethodSet/1[java.lang.String],false,196,3,3,1,2,2,3,12,1,3,1,3,0,0,0,0,1,0,0,0,3,0,1,0,0,0,14,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\ChainOfResponsibilityPatternDetector.java,project.ChainOfResponsibilityPatternDetector,getVariableSet/1[java.lang.String],false,165,3,1,1,0,5,9,20,1,5,1,9,0,0,2,1,1,0,0,1,5,0,4,0,0,0,23,10,0,false
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\ChainOfResponsibilityPatternDetector.java,project.ChainOfResponsibilityPatternDetector,detect/1[java.lang.String],false,18,2,7,1,6,11,11,34,0,9,1,11,6,1,6,0,0,0,6,8,9,5,5,0,0,0,29,9,0,false
