file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\Grabber.java,project.Grabber$MethodVisitor,"visit/2[project.MethodDeclaration,java.util.ArrayList<project.MethodDeclaration>]",md,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\project\Grabber.java,project.Grabber$MethodVisitor,"visit/2[project.MethodDeclaration,java.util.ArrayList<project.MethodDeclaration>]",methodList,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,visit/1[visitor.FinalAcceptor],main,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,visit/1[visitor.Light],light,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,visit/1[visitor.Bicycle],bicycle,2
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\VisitorImpl.java,visitor.VisitorImpl,visit/1[visitor.Bread],bread,2
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,setBrown/1[boolean],brown,2
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,Bread/1[boolean],brown,2
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\src\visitor\Bread.java,visitor.Bread,accept/1[visitor.Visitor],visitor,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Main.java,chorimpl.Main,main/1[java.lang.String[]],args,0
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Main.java,chorimpl.Main,main/1[java.lang.String[]],sabi,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Main.java,chorimpl.Main,main/1[java.lang.String[]],rajo,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Main.java,chorimpl.Main,main/1[java.lang.String[]],handler,3
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Main.java,chorimpl.Main,main/1[java.lang.String[]],lidl,1
D:\JAVA\Sivaaraj\sanjeev\project\design-pattern-detection-master\CS 585\res-folder\master\ChainofResponsibility-master\src\chorimpl\Main.java,chorimpl.Main,main/1[java.lang.String[]],main,0
