file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,class,0,2,2,0,6,1,2,0,3,0.5,0.4,0.6666667,6,0,6,0,0,0,6,1,0,0,2,0,0,2,0,0,0,0,0,21,2,0,0,0,0,0,0,4,0,2,0,0,0,0,49,1025,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,class,1,2,1,1,8,1,0,0,0,0.5,0.5714286,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,32,4,0,0,0,0,4,0,6,1,3,0,0,0,0,29,0,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\loosecoupling\LooseCoupling.java,com.ramesh.ood.concepts.loosecoupling.Bike,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\loosecoupling\LooseCoupling.java,com.ramesh.ood.concepts.loosecoupling.Vehicle,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\liskovssubstitution\good\WinampMediaPlayer.java,com.ramesh.ood.principles.liskovssubstitution.good.WinampMediaPlayer,class,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\delegation\Delegation.java,com.ramesh.ood.concepts.delegation.TrainBooking,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\polymorphism\Polymorphism.java,com.ramesh.ood.concepts.polymorphism.CashPayment,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\loosecoupling\LooseCoupling.java,com.ramesh.ood.concepts.loosecoupling.BadTraveler,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,42,0,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\singleresponsibility\good\UserService.java,com.ramesh.ood.principles.singleresponsibility.good.UserService,class,5,5,0,5,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,9,0,0,0,0,0,2,0,2,0,2,0,0,0,0,8,1,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,class,7,8,1,7,7,1,0,17,15,0.8333333,0.0,0.0,6,6,2,4,0,0,2,0,0,0,3,3,0,3,0,0,2,0,4,50,1,1,0,2,0,16,4,14,0,14,1,0,0,0,54,1,0
