file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,getPaymentPerHour/0,paymentPerHour,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,setPaymentPerHour/1[int],paymentPerHour,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,getName/0,name,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,setName/1[java.lang.String],name,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,"Employee/2[java.lang.String,int]",name,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,"Employee/2[java.lang.String,int]",paymentPerHour,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,setId/1[int],id,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,getId/0,id,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,getQuantity/0,quantity,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,getP/0,p,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,toString/0,p,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,toString/0,quantity,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,toString/0,id,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,setQuantity/1[int],quantity,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,setP/1[com.ramesh.ood.concepts.composition.Product],p,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,"LineItem/3[int,int,com.ramesh.ood.concepts.composition.Product]",p,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,"LineItem/3[int,int,com.ramesh.ood.concepts.composition.Product]",quantity,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,"LineItem/3[int,int,com.ramesh.ood.concepts.composition.Product]",id,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\loosecoupling\LooseCoupling.java,com.ramesh.ood.concepts.loosecoupling.BadTraveler,startJourney/0,c,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\singleresponsibility\good\UserService.java,com.ramesh.ood.principles.singleresponsibility.good.UserService,registerUser/1[com.ramesh.ood.principles.singleresponsibility.good.User],emailInfo,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\singleresponsibility\good\UserService.java,com.ramesh.ood.principles.singleresponsibility.good.UserService,registerUser/1[com.ramesh.ood.principles.singleresponsibility.good.User],emailService,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,createSchema/1[com.ramesh.ood.principles.dependencyinversion.good.DataSource],CREATE_SCHEMA_SQL,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,main/1[java.lang.String[]],config,6
