file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,setPaymentPerHour/1[int],paymentPerHour,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,setName/1[java.lang.String],name,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,"Employee/2[java.lang.String,int]",name,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Employee.java,com.ramesh.ood.concepts.abstraction.Employee,"Employee/2[java.lang.String,int]",paymentPerHour,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,setId/1[int],id,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,setQuantity/1[int],quantity,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,setP/1[com.ramesh.ood.concepts.composition.Product],p,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,"LineItem/3[int,int,com.ramesh.ood.concepts.composition.Product]",p,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,"LineItem/3[int,int,com.ramesh.ood.concepts.composition.Product]",quantity,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.LineItem,"LineItem/3[int,int,com.ramesh.ood.concepts.composition.Product]",id,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\singleresponsibility\good\UserService.java,com.ramesh.ood.principles.singleresponsibility.good.UserService,registerUser/1[com.ramesh.ood.principles.singleresponsibility.good.User],user,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,createSchema/1[com.ramesh.ood.principles.dependencyinversion.good.DataSource],statement,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,createSchema/1[com.ramesh.ood.principles.dependencyinversion.good.DataSource],connection,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,createSchema/1[com.ramesh.ood.principles.dependencyinversion.good.DataSource],dataSource,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,main/1[java.lang.String[]],args,0
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,main/1[java.lang.String[]],customerDao,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,main/1[java.lang.String[]],dataSource,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,deleteSchema/1[com.ramesh.ood.principles.dependencyinversion.good.DataSource],statement,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,deleteSchema/1[com.ramesh.ood.principles.dependencyinversion.good.DataSource],connection,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,deleteSchema/1[com.ramesh.ood.principles.dependencyinversion.good.DataSource],dataSource,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,performOperationsUsing/1[com.ramesh.ood.principles.dependencyinversion.good.CustomerDao],customerDao,3
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,performOperationsUsing/1[com.ramesh.ood.principles.dependencyinversion.good.CustomerDao],customer,4
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,addCustomers/1[com.ramesh.ood.principles.dependencyinversion.good.CustomerDao],customerDao,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,addCustomers/1[com.ramesh.ood.principles.dependencyinversion.good.CustomerDao],customer,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,generateSampleCustomers/0,customer2,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,generateSampleCustomers/0,customer3,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,generateSampleCustomers/0,customers,4
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\good\App.java,com.ramesh.ood.principles.dependencyinversion.good.App,generateSampleCustomers/0,customer1,1
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\bad\DatabaseConfig.java,com.ramesh.ood.principles.dependencyinversion.bad.DatabaseConfig,setUserName/1[java.lang.String],userName,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\bad\DatabaseConfig.java,com.ramesh.ood.principles.dependencyinversion.bad.DatabaseConfig,setUrl/1[java.lang.String],url,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\bad\DatabaseConfig.java,com.ramesh.ood.principles.dependencyinversion.bad.DatabaseConfig,setDriverClass/1[java.lang.String],driverClass,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-principles\src\main\java\com\ramesh\ood\principles\dependencyinversion\bad\DatabaseConfig.java,com.ramesh.ood.principles.dependencyinversion.bad.DatabaseConfig,setPassword/1[java.lang.String],password,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\inheritance\Inheritance.java,com.ramesh.ood.concepts.inheritance.Animal,setId/1[int],id,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\abstraction\Abstraction.java,com.ramesh.ood.concepts.abstraction.Person,setName/1[java.lang.String],name,2
D:\JAVA\Sivaaraj\sanjeev\project\object-oriented-design-master\object-oriented-design-master\oops-concepts\src\main\java\com\ramesh\ood\concepts\composition\Composition.java,com.ramesh.ood.concepts.composition.Product,setName/1[java.lang.String],name,2
