file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\Principal.java,died.izaguirre.haulet.tp.gui.principal.Principal$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\Principal.java,died.izaguirre.haulet.tp.gui.principal.Principal$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\dao\impl\LineaDaoImpl.java,died.izaguirre.haulet.tp.dao.impl.LineaDaoImpl,class,7,13,6,7,43,1,0,42,0,0.10526316,0.77205884,0.77205884,19,0,17,2,0,0,17,0,0,0,1,0,0,1,0,0,0,0,1,230,2,1,0,18,0,16,62,28,0,26,3,0,0,0,69,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\dao\impl\PoseeDaoImpl.java,died.izaguirre.haulet.tp.dao.impl.PoseeDaoImpl,class,11,15,4,11,16,1,0,22,6,0.33333334,0.41666666,0.41666666,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,1,84,3,2,0,5,0,5,13,17,0,16,2,0,0,0,52,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\utilities\TableUtility.java,died.izaguirre.haulet.tp.gui.utilities.TableUtility,class,0,2,2,0,2,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,3,0,3,1,0,0,0,15,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\PrincipalPanel.java,died.izaguirre.haulet.tp.gui.principal.PrincipalPanel,class,17,30,13,17,48,5,0,109,81,0.8821552,NaN,NaN,18,0,1,17,0,0,1,0,0,0,33,0,0,33,0,0,0,0,12,692,3,5,6,0,0,56,337,309,7,144,4,18,0,5,157,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\utilities\Precios.java,died.izaguirre.haulet.tp.gui.utilities.Precios,class,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,9,0,0,0,0,0,0,5,5,0,5,0,0,0,0,9,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorInfoLineas.java,died.izaguirre.haulet.tp.controladores.ControladorInfoLineas$Anonymous1,anonymous,1,1,0,1,3,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorBoleto.java,died.izaguirre.haulet.tp.controladores.ControladorBoleto,class,2,3,1,2,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,1,0,0,0,1,0,1,1,0,0,0,13,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\dao\interfaces\CaminoDao.java,died.izaguirre.haulet.tp.dao.interfaces.CaminoDao,interface,2,6,4,2,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
